tiempo total: 0:05:58.612821
tiempo creacion kb: 0:01:36.292503
tiempo para responder consulta: 0:04:16.703378
         1050620873 function calls (1047945851 primitive calls) in 358.727 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    41786    0.007    0.000    0.007    0.000 Label.py:7(getValue)
      206    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:104(_path_isdir)
    89000    0.007    0.000    0.007    0.000 {method 'random' of '_random.Random' objects}
        1    0.000    0.000    0.006    0.006 NetDB.py:1(<module>)
        1    0.000    0.000    0.006    0.006 NetDiffNode.py:1(<module>)
        1    0.000    0.000    0.006    0.006 sortedlist.py:1(<module>)
     3442    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
        1    0.000    0.000    0.005    0.005 NetDERTGD.py:1(<module>)
       21    0.000    0.000    0.005    0.000 ntpath.py:625(realpath)
        1    0.000    0.000    0.005    0.005 NetDiffProgram.py:1(<module>)
       42    0.004    0.000    0.004    0.000 {built-in method nt._getfinalpathname}
        1    0.000    0.000    0.004    0.004 subprocess.py:10(<module>)
      4/3    0.000    0.000    0.004    0.001 {built-in method builtins.__import__}
        1    0.000    0.000    0.003    0.003 Average.py:1(<module>)
       59    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
        1    0.000    0.000    0.003    0.003 NetDiffFact.py:1(<module>)
     4728    0.003    0.000    0.003    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.003    0.003 NLocalLabel.py:1(<module>)
    93/92    0.001    0.000    0.003    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.003    0.003 traceback.py:1(<module>)
    14004    0.003    0.000    0.003    0.000 Atom.py:5(__init__)
       59    0.003    0.000    0.003    0.000 {built-in method marshal.loads}
    14470    0.003    0.000    0.003    0.000 NetDiffGraph.py:52(getId)
       59    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1010(path_stats)
       59    0.003    0.000    0.003    0.000 {method 'read' of '_io.BufferedReader' objects}
     3442    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
        1    0.000    0.000    0.003    0.003 NetDiffGraphElement.py:1(<module>)
    14464    0.002    0.000    0.002    0.000 NetDERTGD.py:15(get_net_head)
    14468    0.002    0.000    0.002    0.000 NetDERRule.py:17(get_net_body)
    14468    0.002    0.000    0.002    0.000 NetDB.py:26(get_net_diff_graph)
    14464    0.002    0.000    0.002    0.000 NetDERRule.py:20(get_global_cond)
        1    0.000    0.000    0.002    0.002 linecache.py:1(<module>)
        1    0.000    0.000    0.002    0.002 subprocess.py:732(__init__)
        1    0.000    0.000    0.002    0.002 subprocess.py:1224(_execute_child)
    11681    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
       70    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
        1    0.002    0.002    0.002    0.002 {built-in method _winapi.CreateProcess}
    14464    0.002    0.000    0.002    0.000 NetDERTGD.py:12(get_ont_head)
    14464    0.002    0.000    0.002    0.000 GRE.py:14(get_mapping)
        2    0.002    0.001    0.002    0.001 NetDiffInterpretation.py:105(__str__)
     4000    0.002    0.000    0.002    0.000 NetDiffLocalRule.py:11(getTarget)
        1    0.000    0.000    0.002    0.002 tokenize.py:1(<module>)
       70    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
     4000    0.001    0.000    0.001    0.000 NetDiffLocalRule.py:20(getNeighNodes)
     4000    0.001    0.000    0.001    0.000 NetDiffLocalRule.py:14(getTargetCriteria)
        1    0.001    0.001    0.001    0.001 {built-in method io.open}
        3    0.000    0.000    0.001    0.000 re.py:248(compile)
        3    0.000    0.000    0.001    0.000 re.py:287(_compile)
      118    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:294(cache_from_source)
        3    0.000    0.000    0.001    0.000 sre_compile.py:759(compile)
      485    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1265(_path_importer_cache)
        4    0.001    0.000    0.001    0.000 NetDERChase.py:36(_get_candidate_atoms)
     4000    0.001    0.000    0.001    0.000 NetDiffLocalRule.py:23(getNeighEdges)
