tiempo total: 0:00:35.266278
tiempo de traduccion: 1900-01-01 00:00:00.016558
tiempo de construccion de homomorfismos 1900-01-01 00:00:00.071923
tiempo de ejecucion consulta SQL 1900-01-01 00:00:00.009589
tiempo creacion kb: 0:00:01.009957
tiempo para responder consulta: 0:00:29.023667
         84147746 function calls (83634982 primitive calls) in 35.429 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    0.013    0.002 parser.py:205(parse_input)
    43467    0.013    0.000    0.013    0.000 {method 'update' of 'dict' objects}
    42226    0.009    0.000    0.013    0.000 const.py:70(__eq__)
    44406    0.012    0.000    0.012    0.000 {method 'keys' of 'dict' objects}
    28140    0.009    0.000    0.012    0.000 interval.py:189(atomic)
        1    0.000    0.000    0.011    0.011 dict.py:1(<module>)
        6    0.000    0.000    0.011    0.002 NetDiffGlobalRule.py:22(aggregate)
        6    0.006    0.001    0.011    0.002 Average.py:8(aggregate)
        1    0.000    0.000    0.011    0.011 NetDERKB.py:69(_load_tuples_id)
      5/3    0.000    0.000    0.011    0.004 <frozen importlib._bootstrap_external>:1099(create_module)
      5/3    0.008    0.002    0.011    0.004 {built-in method _imp.create_dynamic}
    60936    0.010    0.000    0.010    0.000 interval.py:172(right)
    63340    0.010    0.000    0.010    0.000 const.py:27(__new__)
        8    0.000    0.000    0.010    0.001 lexer.py:106(getLexer)
        8    0.000    0.000    0.010    0.001 lex.py:865(lex)
        1    0.000    0.000    0.009    0.009 Atom.py:1(<module>)
        1    0.000    0.000    0.009    0.009 NetDERChase.py:1(<module>)
    74866    0.009    0.000    0.009    0.000 {method 'replace' of 'str' objects}
  206/193    0.002    0.000    0.008    0.000 {built-in method builtins.__build_class__}
      222    0.000    0.000    0.008    0.000 re.py:248(compile)
      222    0.000    0.000    0.008    0.000 re.py:287(_compile)
      230    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:104(_path_isdir)
     6000    0.003    0.000    0.008    0.000 NetDiffWorld.py:34(getBound)
    42460    0.007    0.000    0.007    0.000 interval.py:151(left)
       41    0.000    0.000    0.007    0.000 sre_compile.py:759(compile)
    44710    0.007    0.000    0.007    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.007    0.007 Variable.py:1(<module>)
    89000    0.007    0.000    0.007    0.000 {method 'random' of '_random.Random' objects}
        1    0.000    0.000    0.007    0.007 sortedlist.py:1(<module>)
    43533    0.007    0.000    0.007    0.000 {method 'items' of 'dict' objects}
     4219    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
        8    0.000    0.000    0.007    0.001 lex.py:567(validate_all)
    43469    0.007    0.000    0.007    0.000 {built-in method builtins.issubclass}
        8    0.000    0.000    0.006    0.001 lex.py:723(validate_rules)
      136    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
        1    0.000    0.000    0.006    0.006 schema.py:1(<module>)
      136    0.006    0.000    0.006    0.000 {built-in method marshal.loads}
      136    0.005    0.000    0.005    0.000 {method 'read' of '_io.BufferedReader' objects}
     7232    0.003    0.000    0.005    0.000 Term.py:37(can_be_instanced)
        1    0.000    0.000    0.005    0.005 Term.py:1(<module>)
        1    0.000    0.000    0.005    0.005 NetDERTGD.py:1(<module>)
        1    0.000    0.000    0.005    0.005 NetDiffProgram.py:1(<module>)
